Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C18, C2, C4, C5, C7, C8, C9",0402,10,100nF 16V,
"C10, C12, C15, C16, C19, C3, C6",0805,7,10uF 10V,
C11,1206,1,22uF 10V,
C17,0603,1,4.7uF 10V,
D1,JK3030AWT-P-U50EA,1,5000K LED,
"J1, J2",DF40TC(4.0)-50DS-0.4V(51),2,DF40TC(4.0)-50DS-0.4V(51),
L1,0603,1,1k5,
Q1,SOT-23,1,BC817,
Q2,SOT-89-3,1,BC868,
R1,0402,1,10k,
R2,0603,1,150 1% 0.1W,
"R3, R4",1210,2,2R 1% 0.5W,
U1,AFBR-S50xxxxx,1,AFBR-S50LX85D,
U2,PAA3905E1-Q,1,PAA3905E1,
U3,IC_ICM-45686,1,ICM-45686,
U4,IC_ICM-42688-P,1,ICM-42688-P,
